Model,Overall_MAE,Overall_RMSE,Overall_WAPE,Overall_sMAPE,Overall_R2,Overall_AE_P50,Overall_AE_P90,Overall_AE_P95,Peak_MAE,Peak_RMSE,Peak_WAPE,Peak_sMAPE,Peak_R2,Peak_AE_P50,Peak_AE_P90,Peak_AE_P95,Peak_N,TrainSeconds
ens_residual_lstm,577.0859002434432,740.699466088211,550.010351793858352,0.010962640771123569,0.9937664354830541,456.2384042247213,1202.0957754380288,1489.5725745767938,529.9153002470929,702.0382296985567,0.007785796614633384,0.007776753679617962,0.5432457459184384,409.64756736595155,1057.1770613613844,1167.6965750580894,196,0.0022785000037401915
final_switch_residual,608.532872682592,767.2215623678296,0.011128607691444742,0.011459721090126352,0.9933120349413226,502.3159999999989,1261.622000000003,1461.3392000000013,611.2892529857027,831.6183220960476,0.008981385882307263,0.009002746331909502,0.3590721041734706,482.0599999999977,1323.5400000000009,1563.9024999999965,196,0.0022785000037401915
lstm,608.8198361408882,767.9718237456624,0.01113385556529432,0.0114637718042469,0.993298948303704,502.3159999999989,1261.622000000003,1461.3392000000013,614.1574234693878,838.511252271034,0.009023526564094813,0.009043232806206202,0.34840331527827284,482.0599999999977,1323.5400000000009,1563.9024999999965,196,0.0
ens_nnls,608.8198361496954,767.9718237547096,0.011133855565455382,0.011463771804360041,0.9932989483035461,502.31599995722354,1261.6220000269154,1461.3392000429862,614.1574235062393,838.5112523083898,0.009023526564636257,0.009043232806753818,0.3484033152202154,482.060000000507,1323.5400000665104,1563.9025000668116,196,0.019337200094014406
ens_stack_ridge,634.4285266541362,810.8867782800002,0.011602177135100802,0.011668316762489996,0.9925291015373683,523.6557214693457,1317.7873720878997,1631.7516752624024,757.7838902241733,914.0033303142377,0.011133762781297334,0.011090108442657034,0.22579382224084388,727.470444083956,1473.764525179984,1590.4880149603123,196,0.0034020000603049994
ens_weighted_ridge,640.7316783547004,810.494287349018,0.011717446672120256,0.01212970229444078,0.9925363320171965,535.7226975976373,1314.2149479005268,1601.425204250656,534.7387829916561,720.417729061771,0.007856665781094235,0.007846234517184723,0.5190168523297618,408.4617774059152,1030.8914068439408,1164.041172394831,196,0.0008813999593257904
ens_mean,12018.708846595935,13002.103257749264,0.21979337800084084,0.24472929027681156,-0.9207888100484347,12068.805820042995,18477.30475595242,19924.817699720257,17721.648095396893,17839.319817489246,0.2603758519192185,0.29976448310287784,-293.92912274871446,17535.046429032333,19935.412200546023,21286.433915979695,196,0.0
ens_median,13684.00468979928,15436.622718937244,0.2502476475417899,0.2832246399050091,-1.7074283691012422,13449.269910353883,22996.444564215963,25094.573283137146,21935.81076465244,22090.909312104908,0.32229256470049705,0.3850949449882231,-451.2600867496646,21611.908957884578,24974.880206318096,26849.364664284498,196,0.0
sarima,13704.826954676113,15438.484198092528,0.2506284368589555,0.28365238318577274,-1.7080813779150907,13449.269910353883,22996.444564215963,25094.573283137146,21935.81076465244,22090.909312104908,0.32229256470049705,0.3850949449882231,-451.2600867496646,21611.908957884578,24974.880206318096,26849.364664284498,196,0.0
hybrid,22329.003007981293,23558.94602994444,0.4083439461889597,0.5181546307510886,-5.306147288883578,22355.642811697613,32073.522032447236,34219.46563973602,30760.18450623212,30940.512152855852,0.45194494343237107,0.5859153587907827,-886.1888449267047,30292.477956144005,34658.047102875425,36828.51772111514,196,0.0
