Model,MAE,RMSE,WAPE,sMAPE,R2,AE_P90,AE_P95
final_switch_tuned_q083,518.1442040134516,670.3561666036236,0.0094601383583913,0.009703682004043515,0.9948866607204138,1078.6690999999985,1332.7154999999946
final_switch_residual,520.0122150604532,672.2488345923865,0.009494244004701259,0.009730847001207727,0.9948577461935811,1084.3387000000023,1337.4788499999947
lstm_pred,521.313650102459,674.6588564367464,0.009518005257778045,0.009749221765210954,0.9948208099943464,1087.3499000000033,1343.3156500000014
ens_nnls,521.3136501065699,674.65885644088,0.009518005257853101,0.009749221765242606,0.9948208099942829,1087.3498999492006,1343.3156500081934
ens_residual_lstm,675.0568609996933,842.025320105462,0.012325007701278139,0.012790781696229431,0.9919324123106777,1335.3839502089404,1629.5675159175469
ens_weighted_ridge,714.0078727029123,903.8074249786808,0.013036164859956314,0.013453921960677085,0.9907050897215716,1498.6562341042682,1761.367527612104
ens_stack_ridge,778.9803934014136,962.2055542698741,0.01422241577338988,0.014180396961524866,0.9894651316848848,1560.9745087483373,1853.2038233974206
ens_mean,12038.994496808335,13022.653194600643,0.2198047430687106,0.24492357857162672,-0.9297113107141657,18467.928929088568,19998.36025028729
ens_median,13765.326158630081,15500.324947555117,0.25132364504002613,0.28464701230789324,-1.7338519874298837,23025.065366612846,25117.01004992759
sarima_pred,13785.069265438511,15502.13895143296,0.25168410940609554,0.2850522568651577,-1.734491910568555,23025.065366612846,25117.01004992759
hybrid_pred,22375.80794642384,23607.357261902387,0.40853151963167694,0.5185201586658931,-5.341443644068631,32016.303943804985,34273.614048589734
