Model,MAE,RMSE,WAPE,sMAPE,R2,AE_P90,AE_P95
ens_residual_lstm,577.0859002434432,740.699466088211,0.01055351793858352,0.010962640771123569,0.9937664354830541,1202.0957754380288,1489.5725745767938
final_switch_tuned_q083,607.0133655877116,765.188990297758,0.011100819548679757,0.011437660751054906,0.9933474243644286,1255.1420000000014,1459.1382999999987
final_switch_residual,608.532872682592,767.2215623678296,0.011128607691444742,0.011459721090126352,0.9933120349413226,1261.622000000003,1461.3392000000013
lstm_pred,608.8198361408882,767.9718237456624,0.01113385556529432,0.0114637718042469,0.993298948303704,1261.622000000003,1461.3392000000013
ens_nnls,608.8198361496954,767.9718237547096,0.011133855565455382,0.011463771804360041,0.9932989483035461,1261.6220000269154,1461.3392000429862
ens_stack_ridge,634.4285266541362,810.8867782800002,0.011602177135100802,0.011668316762489996,0.9925291015373683,1317.7873720878997,1631.7516752624024
ens_weighted_ridge,640.7316783547004,810.494287349018,0.011717446672120256,0.01212970229444078,0.9925363320171965,1314.2149479005268,1601.425204250656
ens_mean,12018.708846595935,13002.103257749264,0.21979337800084084,0.24472929027681156,-0.9207888100484347,18477.30475595242,19924.817699720257
ens_median,13684.00468979928,15436.622718937244,0.2502476475417899,0.2832246399050091,-1.7074283691012422,22996.444564215963,25094.573283137146
sarima_pred,13704.826954676113,15438.484198092528,0.2506284368589555,0.28365238318577274,-1.7080813779150907,22996.444564215963,25094.573283137146
hybrid_pred,22329.003007981293,23558.94602994444,0.4083439461889597,0.5181546307510886,-5.306147288883578,32073.522032447236,34219.46563973602
