,Extreme heat (top 5%),Mild (40–60%),diff(A-B)
DE_50hertz_solar_generation_actual,0.0342387698498478,0.01576422185950112,0.018474547990346677
DE_50hertz_load_actual_entsoe_transparency,0.0627601885574031,0.04615136029844242,0.016608828258960685
DE_50hertz_solar_generation_actual_lag_24,0.023511574419306114,0.01278834152807405,0.010723232891232065
target_load_lag_24,0.0438015223386854,0.038639356892589,0.005162165446096399
DE_transnetbw_load_actual_entsoe_transparency,0.02778452989668945,0.023342069138551132,0.004442460758138318
season_Summer,0.014123989711585763,0.009825691769301087,0.004298297942284675
target_load_lag_48,0.013688484842165479,0.009935602980819393,0.003752881861346086
DE_amprion_load_actual_entsoe_transparency,0.05708421598141932,0.05473416172785934,0.0023500542535599828
target_load_rolling_mean_3,0.025294849171562675,0.02525512466242318,3.972450913949585e-05
target_load_lag_12,0.009362963822960192,0.011483735461571214,-0.002120771638611022
target_load_ema_12,0.009422414463726193,0.01223196190465721,-0.0028095474409310164
target_load_ema_6,0.021351275329825545,0.02477910408091283,-0.003427828751087287
target_load_rolling_std_24,0.010059160865855298,0.01455124396664144,-0.0044920831007861425
target_load_rolling_std_3,0.007866860782188232,0.013096305783939657,-0.005229445001751425
sarima_pred,0.008967514253660656,0.020010114919397873,-0.011042600665737217
