,Mispredicted (top 10% error),Accurate (bottom 10% error),diff(A-B)
target_load_lag_24,0.025553198005924333,0.026651342950163862,-0.0010981449442395291
target_load_rolling_std_3,0.01051844239651789,0.011803337394871237,-0.0012848949983533461
target_load_lag_48,0.00836092872192958,0.01200810019982766,-0.00364717147789808
target_load_rolling_mean_3,0.015567267343104084,0.022528737478208844,-0.00696147013510476
DE_amprion_load_actual_entsoe_transparency,0.03149277530096,0.038521471704099794,-0.007028696403139793
DE_50hertz_solar_generation_actual_lag_24,0.01079699422294785,0.017881079448868048,-0.007084085225920198
target_load_rolling_std_24,0.009824709216548926,0.018416636619241852,-0.008591927402692927
target_load_lag_12,0.005986989890228698,0.01651552446471696,-0.010528534574488262
day_of_week,0.004621629459901991,0.015694950937938094,-0.011073321478036104
target_load_ema_12,0.004826068581856339,0.016044060562413802,-0.011217991980557462
sarima_pred,0.013323161539489857,0.02495162765402705,-0.011628466114537191
DE_50hertz_solar_generation_actual,0.013577900155602526,0.025692936043385083,-0.012115035887782557
target_load_ema_6,0.012937925005619856,0.025731481890753954,-0.012793556885134097
DE_transnetbw_load_actual_entsoe_transparency,0.013954663876621353,0.027052966227407587,-0.013098302350786234
DE_50hertz_load_actual_entsoe_transparency,0.03581887948691944,0.05102712712951146,-0.015208247642592022
